Name,Phone,Email,Website,Zip Code,Address
Cake Box,(763) 537-6560,customcakes@thecakeboxbakery.com,http://www.thecakeboxbakery.com,55428,"6024 W Broadway Ave, Minneapolis, MN 55428"
Panaderia Ecuatoriana,(612) 354-3113,N/A,N/A,55418,"2409 Central Ave NE, Minneapolis, MN 55418"
Margo Patisserie Corporation Office,(952) 224-4849,N/A,N/A,55436,"5100 Eden Ave, Minneapolis, MN 55436"
Panaderia El Mexicano,(612) 871-6633,N/A,http://www.mercadocentral.net,55407,"920 E Lake St Ste 141, Minneapolis, MN 55407"
Au Bon Pain,(612) 343-5252,N/A,http://www.aubonpain.com,55402,"733 Marquette Ave Ste 241, Minneapolis, MN 55402"
Dur Dur Bakery & Grocery Store,(612) 721-9449,N/A,N/A,55407,"1552 E Lake St, Minneapolis, MN 55407"
Dave the Pie Guy,(612) 871-9544,Davethepieguy@Hotmail.Com,http://davethepieguy.com,55408,"3544 Grand Ave S, Minneapolis, MN 55408"
Queen of Cakes,(952) 942-7628,terri@queen-of-cakes.com,http://www.queen-of-cakes.com,55439,"7027 Amundson Ave, Minneapolis, MN 55439"
Pasteleria Gama,(612) 729-9194,candegama@yahoo.com,http://www.pasteleriagama.com,55407,"1703 E Lake St, Minneapolis, MN 55407"
San Miguel Bakery,(612) 721-8682,N/A,N/A,55407,"1623 E Lake St, Minneapolis, MN 55407"
Mon Petit Cheri,(612) 236-4831,mpcbakery@gmail.com,http://www.mpcbakery.com,55406,"2401 E Franklin Ave, Minneapolis, MN 55406"
Wuollet Bakery,(612) 767-4420,wuolletbakery@yahoo.com,N/A,55402,"200 S 6th St Ste 288, Minneapolis, MN 55402"
Thirsty Whale Bakery,(612) 259-7168,N/A,http://www.facebook.com/thirstywhalebakery,55412,"4149 Fremont Ave N, Minneapolis, MN 55412"
Gigi's Cupcakes,(763) 546-1433,N/A,https://gigiscupcakesusa.com,55427,"7722 Highway 55, Minneapolis, MN 55427"
Nestle Toll House Cafe,(952) 853-0272,N/A,http://www.nestlecafe.com,55425,"283 E Broadway, Minneapolis, MN 55425"
Cocoa & Fig,(612) 333-1485,info@cocoaandfig.com,http://www.cocoaandfig.com,55402,"651 Nicollet Mall, Minneapolis, MN 55402"
Taste of Scandinavia Bakery,(952) 358-7490,listings@greenspring.com,http://www.tasteofscandinavia.com,55420,"401 W 98th St, Minneapolis, MN 55420"
Durango Bakery,(612) 706-7950,N/A,http://durangobakerymn.com,55418,"2418 Central Ave NE, Minneapolis, MN 55418"
Wuollet Bakery,(612) 922-4341,info@wuollet.com,http://www.wuollet.com,55410,"3608 W 50th St, Minneapolis, MN 55410"
